Type,DSN,DistributorCode,DistributorName,TeamCode,TeamName,PRDSN,PKSN,PackCode,ProductName,Description,DateName,Opening,OpeningB,Purchase,PurchaseB,Sales,SalesB,Export,DmgExp,OtherIn,OtherOut,Closing,ClosingB,TPrice,ValueTp
0,1,532,Premier Agencies - KARACHI,1,X-Treme,12,4,PV09405,Avsar Plus,320/10/25 mg Tablet 28's,31-Aug-17,35,0,64,0,34,0,0,0,0,32,33,0,238,0.008
0,1,532,Premier Agencies - KARACHI,1,X-Treme,12,5,PV09404,Avsar Plus,160/5/25 mg Tablet 28's,31-Aug-17,73,0,192,0,117,0,0,0,0,32,116,0,144.5,0.017
0,1,532,Premier Agencies - KARACHI,1,X-Treme,12,6,PV09403,Avsar Plus,160/5/12.5 mg Tablet 28's,31-Aug-17,137,0,320,0,557,0,0,0,128,0,28,0,141.1,0.004
0,1,532,Premier Agencies - KARACHI,1,X-Treme,12,7,PV09402,Avsar Plus,160/10/25 mg Tablet 28's,31-Aug-17,180,0,224,0,207,0,0,0,0,32,165,0,154.7,0.026
0,1,532,Premier Agencies - KARACHI,1,X-Treme,12,8,PV09401,Avsar Plus,160/10/12.5 mg Tablet 28's,31-Aug-17,449,0,320,0,533,0,0,0,0,64,172,0,153,0.026
0,1,532,Premier Agencies - KARACHI,1,X-Treme,33,1,6926310,DIU-TANSIN,TABS F.C. X 10,31-Aug-17,3286,0,3550,0,2311,0,0,0,0,651,3874,0,137.95,0.534
0,1,532,Premier Agencies - KARACHI,1,X-Treme,112,2,PV08101,SECURIN,TAB 5mg 20's,31-Aug-17,1161,0,350,0,522,0,0,0,0,150,839,0,107.77,0.09
0,1,532,Premier Agencies - KARACHI,1,X-Treme,112,3,PV08102,SECURIN,TAB 10mg 20's,31-Aug-17,411,0,100,0,176,0,0,0,0,50,285,0,215.54,0.061
0,1,532,Premier Agencies - KARACHI,1,X-Treme,123,4,6118610,TANSIN,TABS F.C. 0050MG X 10,31-Aug-17,1088,0,800,0,720,0,0,0,0,201,967,0,130.05,0.126
0,1,532,Premier Agencies - KARACHI,1,X-Treme,123,5,6118615,TANSIN,TABS F.C DS 0100MG X 10,31-Aug-17,578,0,400,0,337,0,0,0,0,101,540,0,173.4,0.094
0,1,532,Premier Agencies - KARACHI,1,X-Treme,138,6,7013912,X-PLENDED,TABS F.C. 0010MG X 10,31-Aug-17,31894,0,26750,0,27826,0,0,0,0,5001,25817,0,195.5,5.047
0,1,532,Premier Agencies - KARACHI,1,X-Treme,138,7,7013910,X-PLENDED,TABS F.C. 0005MG X 10,31-Aug-17,11175,0,7100,0,8609,0,0,0,1,1602,8065,0,117.3,0.946
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,65,1,PV02601,INNOGEN M30,MIXTURE,31-Aug-17,492,0,360,0,403,0,0,0,0,49,400,0,373.2,0.149
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,66,2,PV02501,INNOGEN N,NPH INSULIN,31-Aug-17,265,0,72,0,145,0,0,0,0,32,160,0,394.4,0.063
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,67,3,PV02401,INNOGEN R,INSULIN REGULAR,31-Aug-17,2,0,168,0,55,0,0,0,0,24,91,0,394.4,0.036
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,68,4,PV04805,INOSITA,TABS 100MG 14`S,31-Aug-17,721,0,300,0,692,0,0,0,0,100,229,0,428.4,0.098
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,68,5,PV04803,INOSITA,TABS 25MG 10`S,31-Aug-17,133,0,100,0,76,0,0,0,0,50,107,0,106.25,0.011
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,68,6,PV04801,INOSITA,TABS 50MG 10`S,31-Aug-17,12,0,0,0,12,0,0,0,0,0,0,0,187,0
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,68,7,PV04804,INOSITA,TABS 50MG 14`S,31-Aug-17,2446,0,3100,0,2587,0,0,0,0,650,2309,0,261.8,0.604
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,68,8,PV04802,INOSITA,TABS 100MG 10`S,31-Aug-17,-7,0,0,0,-10,0,0,0,0,0,3,0,306,0.001
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,69,10,PV04903,INOSITA PLUS,TABS 50+500MG 14`S,31-Aug-17,47,0,23500,0,12895,0,0,0,750,2001,9401,0,273.7,2.573
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,69,12,PV04905,INOSITA PLUS,TABS 50/850mg 10'S,31-Aug-17,237,0,2550,0,1780,0,0,0,0,201,806,0,199.75,0.161
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,69,13,PV04904,INOSITA PLUS,TABS 50+1000MG 14`S,31-Aug-17,2151,0,2800,0,3237,0,0,0,1000,501,2213,0,285.6,0.632
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,129,14,6449610,TREATAN,TABS 0004MG X 14,31-Aug-17,1936,0,1300,0,1322,0,0,0,0,300,1614,0,131.75,0.213
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,129,15,6449613,TREATAN,TABS 0008MG X 14,31-Aug-17,3166,0,2250,0,2229,0,0,0,0,500,2687,0,170,0.457
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,129,16,6449615,TREATAN,TABS 0016MG X 28,31-Aug-17,1165,0,500,0,671,0,0,0,0,150,844,0,454.75,0.384
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,130,17,6449710,TREATAN-D,TABS X 28,31-Aug-17,1202,0,550,0,698,0,0,0,0,150,904,0,510,0.461
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,140,18,PV08904,XILICA,CAPS 150MG 14S,31-Aug-17,105,0,100,0,73,0,0,0,0,50,82,0,346.81,0.028
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,140,19,PV08903,XILICA,CAPS 100MG 14S,31-Aug-17,181,0,200,0,116,0,0,0,0,50,215,0,238.85,0.051
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,140,20,PV08902,XILICA,CAPS 75MG 14S,31-Aug-17,976,0,500,0,736,0,0,0,0,150,590,0,194.21,0.115
0,1,532,Premier Agencies - KARACHI,2,Metabolizers,140,21,PV08901,XILICA,CAPS 50MG 14S,31-Aug-17,1202,0,400,0,758,0,0,0,0,150,694,0,173.4,0.12
0,1,532,Premier Agencies - KARACHI,3,Omron,32,1,PV05401,DIGITAL THERMOMETERS,OMRON ECO TEMP BASIC,31-Aug-17,183,0,0,0,30,0,0,0,5,0,158,0,444.44,0.07
0,1,532,Premier Agencies - KARACHI,3,Omron,32,2,PV05402,DIGITAL THERMOMETERS,OMRON ECO TEMP SMART,31-Aug-17,12,0,0,0,10,0,0,0,0,0,2,0,555.56,0.001
0,1,532,Premier Agencies - KARACHI,3,Omron,32,3,PV05404,DIGITAL THERMOMETERS,GENTLE TEMP 720,31-Aug-17,3,0,0,0,0,0,0,0,0,0,3,0,5470.06,0.016
0,1,532,Premier Agencies - KARACHI,3,Omron,57,4,PV05206,FULLY AUTOMATIC BPM,M2 ECO,31-Aug-17,99,0,0,0,0,0,0,0,0,0,99,0,3247.86,0.322
0,1,532,Premier Agencies - KARACHI,3,Omron,57,5,PV05205,FULLY AUTOMATIC BPM,"HEM-7080IT-E, DBPM M10-IT",31-Aug-17,1,0,0,0,0,0,0,0,0,0,1,0,14017,0.014
0,1,532,Premier Agencies - KARACHI,3,Omron,57,6,PV05204,FULLY AUTOMATIC BPM,BPM - M3W,31-Aug-17,15,0,0,0,0,0,0,0,0,0,15,0,7264.96,0.109
0,1,532,Premier Agencies - KARACHI,3,Omron,57,7,PV05201,FULLY AUTOMATIC BPM,M2 BASIC,31-Aug-17,62,0,0,0,62,0,0,0,0,0,0,0,3846.15,0
0,1,532,Premier Agencies - KARACHI,3,Omron,57,8,PV05202,FULLY AUTOMATIC BPM,M6 COMFORT,31-Aug-17,5,0,0,0,5,0,0,0,0,0,0,0,9401.71,0
0,1,532,Premier Agencies - KARACHI,3,Omron,85,11,PV05707,NEBULIZERS,NE-C28P-E Compressor,31-Aug-17,0,0,0,0,0,0,0,0,2,0,2,0,7692.31,0.015
0,1,532,Premier Agencies - KARACHI,3,Omron,85,13,PV05705,NEBULIZERS,Comp C 803,31-Aug-17,0,0,100,0,0,0,0,0,0,0,100,0,3350.4,0.335
0,1,532,Premier Agencies - KARACHI,3,Omron,135,14,PV05602,WELLNESS,Weigh Scale,31-Aug-17,5,0,0,0,17,0,0,0,12,0,0,0,2979.49,0
0,1,532,Premier Agencies - KARACHI,3,Omron,135,15,PV05601,WELLNESS,BF-508,31-Aug-17,8,0,0,0,0,0,0,0,0,0,8,0,8119.66,0.065
0,1,532,Premier Agencies - KARACHI,3,Omron,137,16,PV05302,WRIST BPM,BPM - RS1,31-Aug-17,0,0,5,0,2,0,0,0,0,0,3,0,3658.12,0.011
0,1,532,Premier Agencies - KARACHI,4,Legends,81,1,3672210,LOWPLAT PLUS,TABS F.C. 0075MG X 10,31-Aug-17,10122,0,20900,0,15717,0,0,0,0,3401,11904,0,125.72,1.497
0,1,532,Premier Agencies - KARACHI,4,Legends,81,2,3672215,LOWPLAT PLUS,TABS F.C. 0150MG X 10,31-Aug-17,1292,0,0,0,1238,0,0,0,1,1,54,0,130.05,0.007
0,1,532,Premier Agencies - KARACHI,4,Legends,86,3,PV06901,NEO Q10,TAB 50MG 20S,31-Aug-17,1094,0,660,0,762,0,0,0,1,151,842,0,406.84,0.343
0,1,532,Premier Agencies - KARACHI,4,Legends,125,4,PV03701,TELSARTA,TABS 20MG,31-Aug-17,1644,0,550,0,1012,0,0,0,1,151,1032,0,108.8,0.112
0,1,532,Premier Agencies - KARACHI,4,Legends,125,5,PV03702,TELSARTA,TABS 40MG,31-Aug-17,2071,0,1300,0,1398,0,0,0,1,251,1723,0,181.9,0.313
0,1,532,Premier Agencies - KARACHI,4,Legends,125,6,PV03703,TELSARTA,TABS 80MG,31-Aug-17,615,0,264,0,297,0,0,0,6,55,533,0,263.5,0.14
0,1,532,Premier Agencies - KARACHI,4,Legends,126,7,PV07704,TELSARTA -A,TABS 10/80MG 10s,31-Aug-17,32,0,250,0,101,0,0,0,3,56,128,0,229.5,0.029
0,1,532,Premier Agencies - KARACHI,4,Legends,126,8,PV07703,TELSARTA -A,TABS 10/40MG 10s,31-Aug-17,391,0,150,0,266,0,0,0,0,50,225,0,161.5,0.036
0,1,532,Premier Agencies - KARACHI,4,Legends,126,9,PV07702,TELSARTA -A,TABS 5/80MG 14s,31-Aug-17,614,0,0,0,214,0,0,0,1,60,341,0,323,0.11
0,1,532,Premier Agencies - KARACHI,4,Legends,126,10,PV07701,TELSARTA -A,TABS 5/40MG 14s,31-Aug-17,745,0,2000,0,1690,0,0,0,0,302,753,0,212.5,0.16
0,1,532,Premier Agencies - KARACHI,4,Legends,127,11,PV03801,TELSARTA D,TABS 40/12.5MG,31-Aug-17,1236,0,0,0,651,0,0,0,2,352,235,0,263.5,0.062
0,1,532,Premier Agencies - KARACHI,4,Legends,127,12,PV03802,TELSARTA D,TABS 80/12.5MG,31-Aug-17,398,0,200,0,180,0,0,0,5,55,368,0,380.8,0.14
0,1,532,Premier Agencies - KARACHI,5,Challengers,11,1,PV03601,AVSAR,TABS 80/5MG 7X2`S,31-Aug-17,12948,0,0,0,7101,0,0,0,0,1402,4445,0,214.2,0.952
0,1,532,Premier Agencies - KARACHI,5,Challengers,11,2,PV03602,AVSAR,TABS 160/5MG 7X2`S,31-Aug-17,5770,0,0,0,1280,0,0,0,0,505,3985,0,309.4,1.233
0,1,532,Premier Agencies - KARACHI,5,Challengers,11,3,PV03603,AVSAR,TABS 160/10MG 7X2`S,31-Aug-17,4644,0,700,0,1172,0,0,0,0,501,3671,0,357,1.311
0,1,532,Premier Agencies - KARACHI,5,Challengers,60,9,PV09001,GALVECTA,TABS 50MG 10S,31-Aug-17,527,0,50,0,249,0,0,0,0,51,277,0,208.25,0.058
0,1,532,Premier Agencies - KARACHI,5,Challengers,61,10,PV09102,GALVECTA PLUS,TABS 50/1000MG 14S,31-Aug-17,447,0,200,0,248,0,0,0,0,51,348,0,306,0.106
0,1,532,Premier Agencies - KARACHI,5,Challengers,61,11,PV09101,GALVECTA PLUS,TABS 50/850MG 14S,31-Aug-17,2069,0,100,0,1126,0,0,0,0,401,642,0,306,0.196
0,1,532,Premier Agencies - KARACHI,5,Challengers,89,12,PV05001,NUVAL,TABS 80MG 14`S,31-Aug-17,930,0,750,0,665,0,0,0,0,101,914,0,178.5,0.163
